index	sentence	label	Original text	perturbed_label	attack
0	us commercial to hope filmmaker nolan is yet to embark a major career as a allows poised inventive that . 	1	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	0	WordInnerSwapRandom
1	the acting , costumes , music , astounding and sound are all cinematography given the production 's austere locales . 	1	the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	0	WordInnerSwapRandom
2	you appreciate n't to have know s music to blend comedy film 'about easygoing do romance the and of . 	1	you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 	0	WordInnerSwapRandom
3	eugene takes a of kind strange forster to reginald the talents of robert laziness , anne meara , it levy , and waste veljohnson all in the same movie . 	0	it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . 	1	WordInnerSwapRandom
4	... needed lack suffers violence a film of humor ( something the to balance out the from ) ... 	0	... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 	1	WordInnerSwapRandom
5	even horror fans will most likely not find what they 're lacks with trouble every day ; the movie seeking thrills both and humor . 	0	even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 	1	WordInnerSwapRandom
6	the emotions anyone raw and ever strike a nerve with are who 's will had family trauma . 	1	the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . 	0	WordInnerSwapRandom
7	production its best moments , resembles a benefit high school in of grease , without bad of song . 	0	in its best moments , resembles a bad high school production of grease , without benefit of song . 	1	WordInnerSwapRandom
8	pumpkin takes an admirable look uneven the hypocrisy of political correctness , but it does so with such an at tone that you never know when humor ends and tragedy begins . 	0	pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	1	WordInnerSwapRandom
9	the iditarod lasts for days - felt just this like it did . 	0	the iditarod lasts for days - this just felt like it did . 	1	WordInnerSwapRandom
10	seldom has the movie spirit closely matched a so of a man and his work . 	1	seldom has a movie so closely matched the spirit of a man and his work . 	0	WordInnerSwapRandom
11	nicks , seemingly uncertain what 'stale going to make people runs , laugh comedy gamut from s parody to raunchy sex gags to formula romantic the . 	0	nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . 	1	WordInnerSwapRandom
12	the action switches between past and present , the the material link is too tenuous to anchor but emotional connections that purport to span a 125-year divide .	0	the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .	1	WordInnerSwapRandom
13	those 'exercise pokes also treat that an fun at the democratic s while offbeat examining its significance for it who take part . 	1	it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 	0	WordInnerSwapRandom
14	awful had to look away - this was god i . 	0	i had to look away - this was god awful . 	1	WordInnerSwapRandom
15	... provokes and to yawns mix of smiles and tears , `` crossroads '' instead unintentional a howlers of designed handful provide numerous a . 	0	... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . 	1	WordInnerSwapRandom
16	far the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is if too self-conscious to draw you deeply into its world . 	0	if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . 	1	WordInnerSwapRandom
17	it does n't bored in no , it has itself sense of humor ... it 's just plain believe . 	0	it does n't believe in itself , it has no sense of humor ... it 's just plain bored . 	1	WordInnerSwapRandom
18	the weight of the piece , the unerring professionalism prove in chilly production , and the fascination lurid the the embedded topic of recommendation enough . 	1	the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . 	0	WordInnerSwapRandom
19	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is thrills on the short the oversize medium demands . 	0	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 	1	WordInnerSwapRandom
20	as surreal as a photograph as a detailed at and as , dream as dexterous imaginatively it is visually times as overwhelming . 	1	as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	0	WordInnerSwapRandom
21	the subtle strength of loses elling '' is that it never `` touch with the reality of the grim situation . 	1	the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . 	0	WordInnerSwapRandom
22	the title not only describes its main characters , people the lazy but behind the camera as well . 	0	the title not only describes its main characters , but the lazy people behind the camera as well . 	1	WordInnerSwapRandom
23	it offers entertainment beyond the momentary joys of pretty and weightless intellectual little . 	0	it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 	1	WordInnerSwapRandom
24	it 's lead by who is plot out kind and a hampered actress a lifetime-channel of of her depth . 	0	it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . 	1	WordInnerSwapRandom
25	gussied feels about an after-school special it up with some fancy special effects , and watching its rote plot points connect is like as exciting as gazing at an egg timer for 93 minutes .	0	it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .	1	WordInnerSwapRandom
26	mr. tsai is his what original artist in a medium , and very time is it there ? 	1	mr. tsai is a very original artist in his medium , and what time is it there ? 	0	WordInnerSwapRandom
27	look is an hero sade at the controversial eponymous and fiercely atheistic engaging . 	1	sade is an engaging look at the controversial eponymous and fiercely atheistic hero . 	0	WordInnerSwapRandom
28	intelligible devoid of collateral kind like so story that it makes films like xxx and any damage seem of thoughtful treatises 	0	so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 	1	WordInnerSwapRandom
29	... a fun joke told by a cinematic gymnast having engage much hollow embellishing the misanthropic tale to actually too it . 	0	... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . 	1	WordInnerSwapRandom
