	Perturbed Premise	Perturbed Hypothesis	label	Original Premise	Original Hypothesis	perturbed_label	attack
0	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studynig	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	2	WordSwapNeighboringCharacterSwap
1	During calf roping a cowboy calls off his horse.	A man ropes a claf usccessfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapNeighboringCharacterSwap
2	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of nsow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	2	WordSwapNeighboringCharacterSwap
3	A snowboarder on a wide plain of snow	A sowboarder gliding over a ield of snow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	2	WordSwapRandomCharacterDeletion
4	A snowboarder on a wide plain of snow	A snowboarder glidincg over a field of snozw	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	2	WordSwapRandomCharacterInsertion
5	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is stIdying	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	2	WordSwapRandomCharacterSubstitution
6	During calf roping a cowboy calls off his horse.	A man ropes a cali successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapRandomCharacterSubstitution
7	A snowboarder on a wide plain of snow	A snowboarTer gliding over a field of snyw	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	0	WordSwapRandomCharacterSubstitution
8	During calf roping a cowboy calls off his horse.	A woman ropes a calf successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapWordNetAntonym
9	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is 	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	WordDeletion
10	During calf roping a cowboy calls off his horse.	A man ropes a calf.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	1	WordDeletion
11	A snowboarder on a wide plain of snow	A gliding over a field of snow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	0	WordDeletion
12	A blond-haired doctor and her African american assistant looking studying new medical manuals.	A doctor is threw	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	WordInnerSwapRandom
13	During ropes roping a cowboy calls off his horse.	A man calf a calf successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordInnerSwapRandom
14	A gliding on a wide plain of snow	A snowboarder snowboarder over a field of snow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	0	WordInnerSwapRandom
15	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is singing	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	WordSwapMaskedLM
16	During calf roping a cowboy calls off his horse.	A man ropes a dolphin successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapMaskedLM
17	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of mathematics	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	0	WordSwapMaskedLM
18	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is x	1	A blond-haired doctor and her African american assistant looking threw new medical manuals.	A doctor is studying	0	WordSwapWordNetSynonyms
19	During calf roping a cowboy calls off his horse.	A man x a calf successfully.	2	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	0	WordSwapWordNetSynonyms
20	A snowboarder on a wide plain of snow	A snowboarder gliding over a u of snow	1	A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	2	WordSwapWordNetSynonyms
