	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
0	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were unlawfully employed .	It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status .	0	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed .	It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status .	1	0	antonyms
1	This disintegrate with Rational PurifyPlus and forbid developers to idle in supported versions of Java , Visual C # and Visual Basic .NET.	IBM said the Rational products were also integrated with Rational PurifyPlus , which allows developers to work in Java , Visual C # and VisualBasic .Net.	0	This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java , Visual C # and Visual Basic .NET.	IBM said the Rational products were also integrated with Rational PurifyPlus , which allows developers to work in Java , Visual C # and VisualBasic .Net.	1	0	antonyms
2	""" I think it happened very slowly , "" Houston Police Department homicide investigator Phil Yochum said of the crime ."	""" I think it dematerialize very quickly , "" said Investigator Phil Yochum of the Houston Police Department 's homicide division ."	0	""" I think it happened very quickly , "" Houston Police Department homicide investigator Phil Yochum said of the crime ."	""" I think it happened very quickly , "" said Investigator Phil Yochum of the Houston Police Department 's homicide division ."	1	0	antonyms
3	""" This indecisiveness is unintelligibly incorrect , "" FTC Chairman Timothy Muris said in a written statement ."	"The decision is "" clearly right , "" FTC Chairman Tim Muris said ."	0	""" This decision is clearly incorrect , "" FTC Chairman Timothy Muris said in a written statement ."	"The decision is "" clearly incorrect , "" FTC Chairman Tim Muris said ."	1	0	antonyms
4	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for unsaturated fat .	Trans fat accounts for 2.5 percent of Americans ' daily calories , compared to 11 percent to 12 percent for saturated fat .	0	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .	Trans fat accounts for 2.5 percent of Americans ' daily calories , compared to 11 percent to 12 percent for saturated fat .	1	0	antonyms
5	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is unreceptive to old technologies and methods to excommunicate more quickly and efficiently .	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new ways to communicate .	0	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new technologies and methods to communicate more quickly and efficiently .	Chad Kolton , emergency management spokesman with the Department of Homeland Security , said the government is open to new ways to communicate .	1	0	antonyms
6	However , EPA officials would not confirm the 20 percent ground .	Only in the future few weeks have officials settled on the 20 percent ground .	1	However , EPA officials would not confirm the 20 percent figure .	Only in the past few weeks have officials settled on the 20 percent figure .	0	1	antonyms
7	""" I stand 100 percent by it , and I think our stupidity disservice gave us the correct information at the time . """	"I stand 100 percent by it , and I think that our intelligence services take us the falsify intelligence and information at the time , "" Blair said ."	0	""" I stand 100 percent by it , and I think our intelligence services gave us the correct information at the time . """	"I stand 100 percent by it , and I think that our intelligence services gave us the correct intelligence and information at the time , "" Blair said ."	1	0	antonyms
8	Barry Callebaut will be unable to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products not sold in the United States .	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which unmake chocolate products acquaintance to the American market .	0	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products not sold in the United States .	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products unknown to the American market .	1	0	antonyms
9	Eric Gagne pitched a perfect ninth for his 23rd save in as few opportunities .	Gagne struck out two in a perfect ninth inning for his 23rd save .	0	Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities .	Gagne struck out two in a perfect ninth inning for his 23rd save .	1	0	antonyms
10	He allegedly told his ex-wife in an angry phone call that he had no intention of following their new custody agreement .	The two had battled over custody and he allegedly told her in an angry phone call that he had no intention of precede their new custody agreement .	1	He allegedly told his ex-wife in an angry phone call that he had no intention of following their new custody agreement .	The two had battled over custody and he allegedly told her in an angry phone call that he had no intention of following their new custody agreement .	0	1	antonyms
11	"In fiction : Edward P. Jones ( "" The unknown World "" ) and Scott Spencer ( "" A Ship unmake of Paper "" ) ."	The fifth nominee for fiction is Scott Spencer , for A Ship Made of Paper .	1	"In fiction : Edward P. Jones ( "" The Known World "" ) and Scott Spencer ( "" A Ship Made of Paper "" ) ."	The fifth nominee for fiction is Scott Spencer , for A Ship Made of Paper .	0	1	antonyms
12	The Centers for Medicare and Medicaid Services , the federal agency that runs Medicare , last year began a similar effort for nursing homes .	The Centers for Medicare and Medicaid launched a unlike consumer tool for nursing homes last year .	0	The Centers for Medicare and Medicaid Services , the federal agency that runs Medicare , last year began a similar effort for nursing homes .	The Centers for Medicare and Medicaid launched a similar consumer tool for nursing homes last year .	1	0	antonyms
