index	Perturbed_Question	Perturbed_sentence	label	Original_Question	Original_sentence	original_label
0	What is the minіmum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
1	Hоw was Temüjin kept imprisoned by the Tayichi'ud?	The Tayichi'ud enslaved Temüϳin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]	0	How was Temüjin kept imprisoned by the Tayichi'ud?	The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]	1
2	What did Herr Gott, dich loben wir become 𝒌nown as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified forｍ of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
3	What does UMC s𝚝and for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as welⅼ as the Great Awakening in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
4	What is the name of the professional skateboarder that lives in southern California?	Southеrn California is ɑlso imрortant to the world of yacհting.	1	What is the name of the professional skateboarder that lives in southern California?	Southern California is also important to the world of yachting.	0
5	Whеre did Temüjin hіde during his escape from the Tayichi'ud?	Temüjin's reputation also became wіdespread after his escape from the Tayichi'ud.	1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.	0
6	What are the most ɑctive partѕ of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	0	What are the most active parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	1
7	What act sets forth the functiоns of the Scottіsh Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	0	What act sets forth the functions of the Scottish Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	1
8	The Tower District is centered around which historic theatre?	Tհe theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	1	The Tower District is centered around which historic theatre?	The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.	0
9	What is the Englisհ translation of Het Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheuⲅ (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	0	What is the English translation of Het Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	1
10	What is one of the lɑrgest music schools in Eսrope?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	0	What is one of the largest music schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	1
11	What percentage of farmland grows wheat?	More than 50% of this area is sown for wհeat, 33% for barley and 7% for oats.	0	What percentage of farmland grows wheat?	More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.	1
12	When did Warsaw become the center of the Congresѕ Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	1	When did Warsaw become the center of the Congress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	0
13	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other thіrd of the wɑter flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	0	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	1
14	What languagе did Tesla ѕtudy while in school?	Tesla was the fourth of 𝚏ive cհildren.	1	What language did Tesla study while in school?	Tesla was the fourth of five children.	0
15	What are those from Jacksonville sometimes cɑlled?	"People from Jacksonville may be called ""Jacksonvillians"" or ""Jaxsons"" (also spelled ""Jaxons"")."	0	What are those from Jacksonville sometimes called?	"People from Jacksonville may be called ""Jacksonvillians"" or ""Jaxsons"" (also spelled ""Jaxons"")."	1
16	Who was the mɑyor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
17	When did Tesla movе to New York City?	In 1882, Tesla bеgan working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	1	When did Tesla move to New York City?	In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	0
18	Wհat has a Lamɑ determined to do?	In Tibetan Buddհism the teachers of Dharma in Tibet are most commonly called a Lamɑ.	1	What has a Lama determined to do?	In Tibetan Buddhism the teachers of Dharma in Tibet are most commonly called a Lama.	0
19	What was the idealized value of imperialisｍ?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	0	What was the idealized value of imperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	1
20	What kind of wɑter body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
21	What tհesis specifies that a polynomial relationship exists within time complexities in a computational model?	This forms the basis for the complexity class P, which is the set of decision problems solvable by a deterministic Tսring machinе witհin polynomial time.	1	What thesis specifies that a polynomial relationship exists within time complexities in a computational model?	This forms the basis for the complexity class P, which is the set of decision problems solvable by a deterministic Turing machine within polynomial time.	0
22	What հappened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	0	What happened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	1
23	What eventually happened to the Block I proɡram after the incident?	Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, reɡardless of whether a LM was present on the flight or not.	1	What eventually happened to the Block I program after the incident?	Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, regardless of whether a LM was present on the flight or not.	0
24	What lead to the UK to subscribe to the agreement on Social Polіcy?	Following the election of the UK Labour Party to government in 1997, the UK formally subscribeԁ to the Aɡreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam.	0	What lead to the UK to subscribe to the agreement on Social Policy?	Following the election of the UK Labour Party to government in 1997, the UK formally subscribed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam.	1
25	Article 34 meant states could be responsible for what?	It ɑlso means ѕtates can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
26	Where is the border of Swiss and Austria?	I𝚝 is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
27	What other locatiоn did Apollo 1 tеst at besidеs Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	0	What other location did Apollo 1 test at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	1
28	Where in South Carolina did Huguenot nobility sеttle?	He bеcame pastor of the first Huguenot church in North America in that city.	1	Where in South Carolina did Huguenot nobility settle?	He became pastor of the first Huguenot church in North America in that city.	0
29	By what naｍe was the Mongol army that finally conquered Bսlgaria known?	The famous cavalⲅy expedi𝚝ion led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	1	By what name was the Mongol army that finally conquered Bulgaria known?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	0
30	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donɑted by Rice Universi𝚝y, and Administrator Webb announced the conversion on September 19, 1961.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
31	What Newcastle radio station is based at the Great North Children's Hospitaⅼ?	Newϲastle Student Radio is run by students from both of the city's universities, broadcasting from Newcastle Unіversity's student's union building during term time.	1	What Newcastle radio station is based at the Great North Children's Hospital?	Newcastle Student Radio is run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time.	0
32	Whɑt do these tеachers NOT do?	Theѕe teachers do not teach by rote but attempt to find new іnvigoration for the ϲourse materials on a daily basis.	0	What do these teachers NOT do?	These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	1
33	What is the estimate of how many physicians give out drugѕ on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
34	What rіver ruոs through Warsaw?	Its рopulation is estimated at 1.740 million residents withіn a greater metropolitan area of 2.666 million residents, which makes Warsaw the 9th most-populous capital city in the European Union.	1	What river runs through Warsaw?	Its population is estimated at 1.740 million residents within a greater metropolitan area of 2.666 million residents, which makes Warsaw the 9th most-populous capital city in the European Union.	0
35	Whо was resрonsible for the new building projects in Jacksonville?	Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	0	Who was responsible for the new building projects in Jacksonville?	Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	1
36	How much time was left in the game when Denver took the score to 24-10?	With 4:51 left in regulation, Cɑrolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.	1	How much time was left in the game when Denver took the score to 24-10?	With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.	0
37	What was developеd from Watt's mеasurements on a model steam engine?	The steam engine contributed mսch to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	1	What was developed from Watt's measurements on a model steam engine?	The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam.	0
38	What is the mniimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
39	What did Herr Gott, dich loben wir ebcome konwn as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
40	What does UMC stand for?	Founded in 1968 by the union of the Mehtodist Church (UAS) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
41	hWere did Temüjin ihde during his escape from the Tayichi'ud?	Temüjin's reputation also bceame widespread after his escape from the Tayichi'ud.	1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.	0
