index	Perturbed_Premise	Perturbed_Hypothesis	label	perturbed_label	Original_Premise	Original_Hypothesis
0	"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates."	Interest rates should increase to increase i.	2	0	"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates."	Interest rates should increase to increase saving.
1	and uh as a matter of fact he's a draft dodger	"They n the draft, I'll have you know."	0	1	and uh as a matter of fact he's a draft dodger	"They dodged the draft, I'll have you know."
2	Tuppence rose.	Tuppence o into the y.	1	0	Tuppence rose.	Tuppence floated into the air.
3	"Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices."	There's nothing n seeing in the tourist offices.	2	0	"Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices."	There's nothing worth seeing in the tourist offices.
4	"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair."	I was dreadfully worried about a things. 	2	1	"One thing was worrying me dreadfully, but my heart gave a great throb of relief when I saw my ulster lying carelessly over the back of a chair."	I was dreadfully worried about many things. 
5	What changed?	What was q?	1	0	What changed?	What was unique?
6	WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	Whole life policies are a type of life insurance that only cover the o person until retirement from the workforce.	2	0	WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.
7	Boats in daily use lie within feet of the fashionable bars and restaurants.	Bars and restaurants are interesting g.	1	2	Boats in daily use lie within feet of the fashionable bars and restaurants.	Bars and restaurants are interesting places.
8	i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville	I do not t the weather conditions in Lewisville.  	0	1	i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville	I do not know the weather conditions in Lewisville.  
9	yeah but uh do you have small kids	Do you have any f? 	1	0	yeah but uh do you have small kids	Do you have any children? 
10	Sir James's presence in Manchester was not accidental.	Manchester was not the place that Sir James had s to go.	2	0	Sir James's presence in Manchester was not accidental.	Manchester was not the place that Sir James had intended to go.
11	"Even us if you needed,"" said Jon."	He told them not to r him to lift a finger.	2	0	"Even us if you needed,"" said Jon."	He told them not to ask him to lift a finger.
12	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything can be found inside a r mall.	1	2	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything can be found inside a shopping mall.
13	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a continuous t."	0	1	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a continuous cycle."
14	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	It is better to have m than to have none at all.	0	2	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	It is better to have little than to have none at all.
15	I thought working on Liddy's campaign would be better than working on Bob's.	I thought 3 would like working on Liddy's campaign the best.	1	2	I thought working on Liddy's campaign would be better than working on Bob's.	I thought I would like working on Liddy's campaign the best.
16	Then he is very sure. 	He is very o of himself.	1	0	Then he is very sure. 	He is very sure of himself.
17	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His i went down.	2	0	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His charges went down.
18	"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures)."	All of the emission categories experienced a downturn a for one.	2	1	"Although all four categories of emissions are down substantially, they only achieve 50-75% of the proposed cap by 2007 (shown as the dotted horizontal line in each of the above figures)."	All of the emission categories experienced a downturn except for one.
19	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from c to formal surveys.	0	2	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from informal to formal surveys.
20	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit thought that by converting the Asian people to Christianity, it would t them to expand their territory. "	2	1	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit thought that by converting the Asian people to Christianity, it would help them to expand their territory. "
21	Another White House murder mystery and a chance to bash the genre.	This is a x angle at White House murder mystery.	1	0	Another White House murder mystery and a chance to bash the genre.	This is a new angle at White House murder mystery.
22	"Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers."	Male children are t to bring luck to the family.	1	0	"Children, especially boys, are seen as a blessing and are treated with indulgence, fussed over by mothers and grandmothers."	Male children are considered to bring luck to the family.
23	The two programs are currently housed in buildings about a block apart.	The two buildings are on o sides of the city.	2	0	The two programs are currently housed in buildings about a block apart.	The two buildings are on opposite sides of the city.
24	well Dana it's been really interesting and i appreciate talking with you	"t for calling me, Dana."	1	0	well Dana it's been really interesting and i appreciate talking with you	"Thanks for calling me, Dana."
25	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is a found but not often looked for.	2	1	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is easily found but not often looked for.
26	" ""An egg has got to hatch,"" he said."	A chick i hatch from an egg.	1	2	" ""An egg has got to hatch,"" he said."	A chick must hatch from an egg.
27	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed n, keeping up with the buffaloes."	0	1	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed difficult, keeping up with the buffaloes."
28	CHAPTER 6: HUMAN CAPITAL	t have capital.	1	0	CHAPTER 6: HUMAN CAPITAL	Humans have capital.
29	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's possible to rehabilitate those types of c.	1	2	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's possible to rehabilitate those types of people.
30	"What about the hole?"" They scanned the cliff-side narrowly."	They looked from the top of the cliff for the x.	1	2	"What about the hole?"" They scanned the cliff-side narrowly."	They looked from the top of the cliff for the hole.
31	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for l times in the past is going to handed out once a year.	0	1	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for several times in the past is going to handed out once a year.
32	"At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c."	It was built in c BC by the Ptolomies.  	0	1	"At 79 m (260 ft) wide and 36 m (118 ft) high, it was built by the Ptolemies during a total reconstruction of the temple in the years 237 105 b.c."	It was built in 105 BC by the Ptolomies.
33	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was x when we first came here. 	1	0	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was exciting when we first came here. 
34	"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions."	The Vice President has n a few representatives. 	2	1	"The Vice President and his representatives have asserted that GAO lacks the statutory authority to examine the activities of the NEPDG, recognizing only GAOas authority to audit its financial transactions."	The Vice President has sacked a few representatives. 
35	Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.	This chapter is in the advance y.	2	0	Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.	This chapter is in the advance category.
36	"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids."	Beatrice and Grace ended up in s at the end.	2	0	"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids."	Beatrice and Grace ended up in prison at the end.
37	"Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. "	The chest wasn't i o to completely contain all of the garments.	0	2	"Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. "	The chest wasn't big enough to completely contain all of the garments.
38	"17 ""Surely you are not thinking of refusing?"	You should t up the opportunity.	2	0	"17 ""Surely you are not thinking of refusing?"	You should pass up the opportunity.
39	GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.	The GAO has received many e due to lack of a website. 	2	0	GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.	The GAO has received many complaints due to lack of a website. 
