index	Perturbed_Question1	Perturbed_Question2	label	Original_Question1	Original_Question2	original_label
0	 Why are o so beautiful?	 Why are S so beautiful?	1	 Why are African-Americans so beautiful?	 Why are hispanics so beautiful?	0
1	 I want to g PhD in v Science about social network,what is the v u in social networks?	 I v social media for a non-profit. Should I start u to social media networking f? Are there any v g in the v area?	1	 I want to pursue PhD in Computer Science about social network,what is the open problem in social networks?	 I handle social media for a non-profit. Should I start going to social media networking events? Are there any good ones in the bay area?	0
2	 Is there a reason why we should travel p?	 What are some reasons to travel alone?	0	 Is there a reason why we should travel alone?	 What are some reasons to travel alone?	1
3	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or d?	1	 What are some good baby girl names starting with D?	 What are some good baby girl names starting with D or H?	0
4	 I am 25 year old guy and r had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	0	 I am 25 year old guy and never had a girlfriend. Is this weird?	 I am 25 years old. I have never had a girlfriend. Is something wrong with me?	1
5	 What are the best things to do in Hong Kong?	 What is the x thing in Hong Kong?	0	 What are the best things to do in Hong Kong?	 What is the best thing in Hong Kong?	1
6	 Can you a these to English language?	 Can you i this from a to English language?	1	 Can you TRANSLATE these to English language?	 Can you translate this from Bengali to English language?	0
7	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 0,000 rs?	0	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 40,000 rs?	1
8	 e T Nadu v are no k?	 Why are the t e able to e 100% in Tamil Nadu?	1	 Why Tamil Nadu Universities are no good?	 Why are the 10th students able to score 100% in Tamil Nadu?	0
9	 What is an easy way to clean toothpaste stains from a t without o it?	 What are some ways to remove t water stains from t?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
10	 What was the deadliest o in history?	 What was the bloodiest battle in history?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
11	 What are your views about i in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
12	 Is FMS O a good option for a MBA executive program?	 Is FMS a good y for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
13	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a r in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
14	 How is vanilla l made?	 How do you make sugar i without vanilla w?	1	 How is vanilla extract made?	 How do you make sugar cookies without vanilla extract?	0
15	 What is the t, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	0	 What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	1
